title,keywords,group,link,pdf
Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics (Volume 1- Long Papers),,,https://aclanthology.org/P16-1000/,https://aclanthology.org/P16-1000.pdf
Noise reduction and targeted exploration in imitation learning for Abstract Meaning Representation parsing,,,https://aclanthology.org/P16-1001/,https://aclanthology.org/P16-1001.pdf
Data Recombination for Neural Semantic Parsing,,,https://aclanthology.org/P16-1002/,https://aclanthology.org/P16-1002.pdf
Inferring Logical Forms From Denotations,,,https://aclanthology.org/P16-1003/,https://aclanthology.org/P16-1003.pdf
Language to Logical Form with Neural Attention,,,https://aclanthology.org/P16-1004/,https://aclanthology.org/P16-1004.pdf
Unsupervised Person Slot Filling based on Graph Mining,,,https://aclanthology.org/P16-1005/,https://aclanthology.org/P16-1005.pdf
A Multi-media Approach to Cross-lingual Entity Knowledge Transfer,,,https://aclanthology.org/P16-1006/,https://aclanthology.org/P16-1006.pdf
Models and Inference for Prefix-Constrained Machine Translation,,,https://aclanthology.org/P16-1007/,https://aclanthology.org/P16-1007.pdf
Modeling Coverage for Neural Machine Translation,,,https://aclanthology.org/P16-1008/,https://aclanthology.org/P16-1008.pdf
Improving Neural Machine Translation Models with Monolingual Data,,,https://aclanthology.org/P16-1009/,https://aclanthology.org/P16-1009.pdf
Graph-Based Translation Via Graph Segmentation,,,https://aclanthology.org/P16-1010/,https://aclanthology.org/P16-1010.pdf
Incremental Acquisition of Verb Hypothesis Space towards Physical World Interaction,,,https://aclanthology.org/P16-1011/,https://aclanthology.org/P16-1011.pdf
Language Transfer Learning for Supervised Lexical Substitution,,,https://aclanthology.org/P16-1012/,https://aclanthology.org/P16-1012.pdf
Learning the Curriculum with Bayesian Optimization for Task-Specific Word Representation Learning,,,https://aclanthology.org/P16-1013/,https://aclanthology.org/P16-1013.pdf
Pointing the Unknown Words,,,https://aclanthology.org/P16-1014/,https://aclanthology.org/P16-1014.pdf
Generalized Transition-based Dependency Parsing via Control Parameters,,,https://aclanthology.org/P16-1015/,https://aclanthology.org/P16-1015.pdf
A Transition-Based System for Joint Lexical and Syntactic Analysis,,,https://aclanthology.org/P16-1016/,https://aclanthology.org/P16-1016.pdf
Neural Greedy Constituent Parsing with Dynamic Oracles,,,https://aclanthology.org/P16-1017/,https://aclanthology.org/P16-1017.pdf
Literal and Metaphorical Senses in Compositional Distributional Semantic Models,,,https://aclanthology.org/P16-1018/,https://aclanthology.org/P16-1018.pdf
Idiom Token Classification using Sentential Distributed Semantics,,,https://aclanthology.org/P16-1019/,https://aclanthology.org/P16-1019.pdf
Adaptive Joint Learning of Compositional and Non-Compositional Phrase Embeddings,,,https://aclanthology.org/P16-1020/,https://aclanthology.org/P16-1020.pdf
"Metaphor Detection with Topic Transition, Emotion and Cognition in Context",,,https://aclanthology.org/P16-1021/,https://aclanthology.org/P16-1021.pdf
Compressing Neural Language Models by Sparse Word Representations,,,https://aclanthology.org/P16-1022/,https://aclanthology.org/P16-1022.pdf
Intrinsic Subspace Evaluation of Word Embedding Representations,,,https://aclanthology.org/P16-1023/,https://aclanthology.org/P16-1023.pdf
On the Role of Seed Lexicons in Learning Bilingual Word Embeddings,,,https://aclanthology.org/P16-1024/,https://aclanthology.org/P16-1024.pdf
Liberal Event Extraction and Event Schema Induction,,,https://aclanthology.org/P16-1025/,https://aclanthology.org/P16-1025.pdf
Jointly Event Extraction and Visualization on Twitter via Probabilistic Modelling,,,https://aclanthology.org/P16-1026/,https://aclanthology.org/P16-1026.pdf
Using Sentence-Level LSTM Language Models for Script Inference,,,https://aclanthology.org/P16-1027/,https://aclanthology.org/P16-1027.pdf
Two Discourse Driven Language Models for Semantics,,,https://aclanthology.org/P16-1028/,https://aclanthology.org/P16-1028.pdf
Sentiment Domain Adaptation with Multiple Sources,,,https://aclanthology.org/P16-1029/,https://aclanthology.org/P16-1029.pdf
Connotation Frames- A Data-Driven Investigation,,,https://aclanthology.org/P16-1030/,https://aclanthology.org/P16-1030.pdf
Bi-Transferring Deep Neural Networks for Domain Adaptation,,,https://aclanthology.org/P16-1031/,https://aclanthology.org/P16-1031.pdf
"Document-level Sentiment Inference with Social, Faction, and Discourse Context",,,https://aclanthology.org/P16-1032/,https://aclanthology.org/P16-1032.pdf
Active Learning for Dependency Parsing with Partial Annotation,,,https://aclanthology.org/P16-1033/,https://aclanthology.org/P16-1033.pdf
Dependency Parsing with Bounded Block Degree and Well-nestedness via Lagrangian Relaxation and Branch-and-Bound,,,https://aclanthology.org/P16-1034/,https://aclanthology.org/P16-1034.pdf
Query Expansion with Locally-Trained Word Embeddings,,,https://aclanthology.org/P16-1035/,https://aclanthology.org/P16-1035.pdf
Together we stand- Siamese Networks for Similar Question Retrieval,,,https://aclanthology.org/P16-1036/,https://aclanthology.org/P16-1036.pdf
News Citation Recommendation with Implicit and Explicit Semantics,,,https://aclanthology.org/P16-1037/,https://aclanthology.org/P16-1037.pdf
Grapheme-to-Phoneme Models for (Almost) Any Language,,,https://aclanthology.org/P16-1038/,https://aclanthology.org/P16-1038.pdf
Neural Word Segmentation Learning for Chinese,,,https://aclanthology.org/P16-1039/,https://aclanthology.org/P16-1039.pdf
Transition-Based Neural Word Segmentation,,,https://aclanthology.org/P16-1040/,https://aclanthology.org/P16-1040.pdf
A Parallel-Hierarchical Model for Machine Comprehension on Sparse Data,,,https://aclanthology.org/P16-1041/,https://aclanthology.org/P16-1041.pdf
Combining Natural Logic and Shallow Reasoning for Question Answering,,,https://aclanthology.org/P16-1042/,https://aclanthology.org/P16-1042.pdf
Easy Questions First- A Case Study on Curriculum Learning for Question Answering,,,https://aclanthology.org/P16-1043/,https://aclanthology.org/P16-1043.pdf
Improved Representation Learning for Question Answer Matching,,,https://aclanthology.org/P16-1044/,https://aclanthology.org/P16-1044.pdf
Tables as Semi-structured Knowledge for Question Answering,,,https://aclanthology.org/P16-1045/,https://aclanthology.org/P16-1045.pdf
Neural Summarization by Extracting Sentences and Words,,,https://aclanthology.org/P16-1046/,https://aclanthology.org/P16-1046.pdf
Neural Networks For Negation Scope Detection,,,https://aclanthology.org/P16-1047/,https://aclanthology.org/P16-1047.pdf
CSE- Conceptual Sentence Embeddings based on Attention Model,,,https://aclanthology.org/P16-1048/,https://aclanthology.org/P16-1048.pdf
DocChat- An Information Retrieval Approach for Chatbot Engines Using Unstructured Documents,,,https://aclanthology.org/P16-1049/,https://aclanthology.org/P16-1049.pdf
Investigating the Sources of Linguistic Alignment in Conversation,,,https://aclanthology.org/P16-1050/,https://aclanthology.org/P16-1050.pdf
Entropy Converges Between Dialogue Participants- Explanations from an Information-Theoretic Perspective,,,https://aclanthology.org/P16-1051/,https://aclanthology.org/P16-1051.pdf
Finding the Middle Ground - A Model for Planning Satisficing Answers,,,https://aclanthology.org/P16-1052/,https://aclanthology.org/P16-1052.pdf
A Sentence Interaction Network for Modeling Dependence between Sentences,,,https://aclanthology.org/P16-1053/,https://aclanthology.org/P16-1053.pdf
Towards more variation in text generation- Developing and evaluating variation models for choice of referential form,,,https://aclanthology.org/P16-1054/,https://aclanthology.org/P16-1054.pdf
How Much is 131 Million Dollars- Putting Numbers in Perspective with Compositional Descriptions,,,https://aclanthology.org/P16-1055/,https://aclanthology.org/P16-1055.pdf
Generating Factoid Questions With Recurrent Neural Networks- The 30M Factoid Question-Answer Corpus,,,https://aclanthology.org/P16-1056/,https://aclanthology.org/P16-1056.pdf
Latent Predictor Networks for Code Generation,,,https://aclanthology.org/P16-1057/,https://aclanthology.org/P16-1057.pdf
Easy Things First- Installments Improve Referring Expression Generation for Objects in Photographs,,,https://aclanthology.org/P16-1058/,https://aclanthology.org/P16-1058.pdf
Collective Entity Resolution with Multi-Focal Attention,,,https://aclanthology.org/P16-1059/,https://aclanthology.org/P16-1059.pdf
Which Coreference Evaluation Metric Do You Trust- A Proposal for a Link-based Entity Aware Metric,,,https://aclanthology.org/P16-1060/,https://aclanthology.org/P16-1060.pdf
Improving Coreference Resolution by Learning Entity-Level Distributed Representations,,,https://aclanthology.org/P16-1061/,https://aclanthology.org/P16-1061.pdf
Effects of Creativity and Cluster Tightness on Short Text Clustering Performance,,,https://aclanthology.org/P16-1062/,https://aclanthology.org/P16-1062.pdf
Generative Topic Embedding- a Continuous Representation of Documents,,,https://aclanthology.org/P16-1063/,https://aclanthology.org/P16-1063.pdf
Detecting Common Discussion Topics Across Culture From News Reader Comments,,,https://aclanthology.org/P16-1064/,https://aclanthology.org/P16-1064.pdf
A Discriminative Topic Model using Document Network Structure,,,https://aclanthology.org/P16-1065/,https://aclanthology.org/P16-1065.pdf
AraSenTi- Large-Scale Twitter-Specific Arabic Sentiment Lexicons,,,https://aclanthology.org/P16-1066/,https://aclanthology.org/P16-1066.pdf
Unsupervised Multi-Author Document Decomposition Based on Hidden Markov Model,,,https://aclanthology.org/P16-1067/,https://aclanthology.org/P16-1067.pdf
Automatic Text Scoring Using Neural Networks,,,https://aclanthology.org/P16-1068/,https://aclanthology.org/P16-1068.pdf
Improved Semantic Parsers For If-Then Statements,,,https://aclanthology.org/P16-1069/,https://aclanthology.org/P16-1069.pdf
Universal Dependencies for Learner English,,,https://aclanthology.org/P16-1070/,https://aclanthology.org/P16-1070.pdf
Extracting token-level signals of syntactic processing from fMRI - with an application to PoS induction,,,https://aclanthology.org/P16-1071/,https://aclanthology.org/P16-1071.pdf
Bidirectional Recurrent Convolutional Neural Network for Relation Classification,,,https://aclanthology.org/P16-1072/,https://aclanthology.org/P16-1072.pdf
Sentence Rewriting for Semantic Parsing,,,https://aclanthology.org/P16-1073/,https://aclanthology.org/P16-1073.pdf
Chinese Zero Pronoun Resolution with Deep Neural Networks,,,https://aclanthology.org/P16-1074/,https://aclanthology.org/P16-1074.pdf
Constrained Multi-Task Learning for Automated Essay Scoring,,,https://aclanthology.org/P16-1075/,https://aclanthology.org/P16-1075.pdf
CFO- Conditional Focused Neural Question Answering with Large-scale Knowledge Bases,,,https://aclanthology.org/P16-1076/,https://aclanthology.org/P16-1076.pdf
Verbs Taking Clausal and Non-Finite Arguments as Signals of Modality – Revisiting the Issue of Meaning Grounded in Syntax,,,https://aclanthology.org/P16-1077/,https://aclanthology.org/P16-1077.pdf
Tree-to-Sequence Attentional Neural Machine Translation,,,https://aclanthology.org/P16-1078/,https://aclanthology.org/P16-1078.pdf
