title,keywords,group,link,pdf
1. ICML2011 Unsupervised and Transfer Learning Workshop,,,https://proceedings.mlr.press/v27/silver12a.html,
2. Deep Learning of Representations for Unsupervised and Transfer Learning,,,https://proceedings.mlr.press/v27/bengio12a.html,
"3. Autoencoders, Unsupervised Learning, and Deep Architectures",,,https://proceedings.mlr.press/v27/baldi12a.html,
4. Information Theoretic Model Selection for Pattern Analysis,,,https://proceedings.mlr.press/v27/buhmann12a.html,
5. Clustering- Science or Art-,,,https://proceedings.mlr.press/v27/luxburg12a.html,
6. Transfer Learning by Kernel Meta-Learning,,,https://proceedings.mlr.press/v27/aiolli12a.html,
7. Unsupervised and Transfer Learning Challenge- a Deep Learning Approach,,,https://proceedings.mlr.press/v27/mesnil12a.html,
8. Stochastic Unsupervised Learning on Unlabeled Data,,,https://proceedings.mlr.press/v27/liu12a.html,
9. Transfer Learning with Cluster Ensembles,,,https://proceedings.mlr.press/v27/acharya12a.html,
10. Divide and Transfer- an Exploration of Segmented Transfer to Detect Wikipedia Vandalism,,,https://proceedings.mlr.press/v27/chin12a.html,
11. Self-measuring Similarity for Multi-task Gaussian Process,,,https://proceedings.mlr.press/v27/hayashi12a.html,
12. Transfer Learning for Auto-gating of Flow Cytometry Data,,,https://proceedings.mlr.press/v27/lee12a.html,
13. Inductive Transfer for Bayesian Network Structure Learning,,,https://proceedings.mlr.press/v27/niculescu12a.html,
14. Unsupervised dimensionality reduction via gradient-based matrix factorization with two adaptive learning rates,,,https://proceedings.mlr.press/v27/nikulin12a.html,
15. One-Shot Learning with a Hierarchical Nonparametric Bayesian Model,,,https://proceedings.mlr.press/v27/salakhutdinov12a.html,
16. Multitask Learning in Computational Biology,,,https://proceedings.mlr.press/v27/widmer12a.html,
"17. Transfer Learning in Sequential Decision Problems-  A Hierarchical Bayesian Approach | [link](https://proceedings.mlr.press/v27/wilson12a.html), [pdf](http://proceedings.mlr.press/v27/wilson12a/wilson12a.pdf)ICML2011 Unsupervised and Transfer Learning Workshop",,,https://proceedings.mlr.press/v27/wilson12a.html,http://proceedings.mlr.press/v27/wilson12a/wilson12a.pdf)ICML2011 Unsupervised and Transfer Learning Workshop | [link](https://proceedings.mlr.press/v27/silver12a.html
Deep Learning of Representations for Unsupervised and Transfer Learning,,,https://proceedings.mlr.press/v27/bengio12a.html,
"Autoencoders, Unsupervised Learning, and Deep Architectures",,,https://proceedings.mlr.press/v27/baldi12a.html,
Information Theoretic Model Selection for Pattern Analysis,,,https://proceedings.mlr.press/v27/buhmann12a.html,
Clustering- Science or Art-,,,https://proceedings.mlr.press/v27/luxburg12a.html,
Transfer Learning by Kernel Meta-Learning,,,https://proceedings.mlr.press/v27/aiolli12a.html,
Unsupervised and Transfer Learning Challenge- a Deep Learning Approach,,,https://proceedings.mlr.press/v27/mesnil12a.html,
Stochastic Unsupervised Learning on Unlabeled Data,,,https://proceedings.mlr.press/v27/liu12a.html,
Transfer Learning with Cluster Ensembles,,,https://proceedings.mlr.press/v27/acharya12a.html,
Divide and Transfer- an Exploration of Segmented Transfer to Detect Wikipedia Vandalism,,,https://proceedings.mlr.press/v27/chin12a.html,
Self-measuring Similarity for Multi-task Gaussian Process,,,https://proceedings.mlr.press/v27/hayashi12a.html,
Transfer Learning for Auto-gating of Flow Cytometry Data,,,https://proceedings.mlr.press/v27/lee12a.html,
Inductive Transfer for Bayesian Network Structure Learning,,,https://proceedings.mlr.press/v27/niculescu12a.html,
Unsupervised dimensionality reduction via gradient-based matrix factorization with two adaptive learning rates,,,https://proceedings.mlr.press/v27/nikulin12a.html,
One-Shot Learning with a Hierarchical Nonparametric Bayesian Model,,,https://proceedings.mlr.press/v27/salakhutdinov12a.html,
Multitask Learning in Computational Biology,,,https://proceedings.mlr.press/v27/widmer12a.html,
"Transfer Learning in Sequential Decision Problems- A Hierarchical Bayesian Approach | [link](https://proceedings.mlr.press/v27/wilson12a.html), [pdf](http://proceedings.mlr.press/v27/wilson12a/wilson12a.pdf)ICML2011 Unsupervised and Transfer Learning Workshop",,,https://proceedings.mlr.press/v27/wilson12a.html,http://proceedings.mlr.press/v27/wilson12a/wilson12a.pdf)ICML2011 Unsupervised and Transfer Learning Workshop | [link](https://proceedings.mlr.press/v27/silver12a.html
Deep Learning of Representations for Unsupervised and Transfer Learning,,,https://proceedings.mlr.press/v27/bengio12a.html,
"Autoencoders, Unsupervised Learning, and Deep Architectures",,,https://proceedings.mlr.press/v27/baldi12a.html,
Information Theoretic Model Selection for Pattern Analysis,,,https://proceedings.mlr.press/v27/buhmann12a.html,
Clustering- Science or Art-,,,https://proceedings.mlr.press/v27/luxburg12a.html,
Transfer Learning by Kernel Meta-Learning,,,https://proceedings.mlr.press/v27/aiolli12a.html,
Unsupervised and Transfer Learning Challenge- a Deep Learning Approach,,,https://proceedings.mlr.press/v27/mesnil12a.html,
Stochastic Unsupervised Learning on Unlabeled Data,,,https://proceedings.mlr.press/v27/liu12a.html,
Transfer Learning with Cluster Ensembles,,,https://proceedings.mlr.press/v27/acharya12a.html,
Divide and Transfer- an Exploration of Segmented Transfer to Detect Wikipedia Vandalism,,,https://proceedings.mlr.press/v27/chin12a.html,
Self-measuring Similarity for Multi-task Gaussian Process,,,https://proceedings.mlr.press/v27/hayashi12a.html,
Transfer Learning for Auto-gating of Flow Cytometry Data,,,https://proceedings.mlr.press/v27/lee12a.html,
Inductive Transfer for Bayesian Network Structure Learning,,,https://proceedings.mlr.press/v27/niculescu12a.html,
Unsupervised dimensionality reduction via gradient-based matrix factorization with two adaptive learning rates,,,https://proceedings.mlr.press/v27/nikulin12a.html,
One-Shot Learning with a Hierarchical Nonparametric Bayesian Model,,,https://proceedings.mlr.press/v27/salakhutdinov12a.html,
Multitask Learning in Computational Biology,,,https://proceedings.mlr.press/v27/widmer12a.html,
Transfer Learning in Sequential Decision Problems- A Hierarchical Bayesian Approach,,,https://proceedings.mlr.press/v27/wilson12a.html,
