title,keywords,group,link,pdf
Anytime Capacity Expansion in Medical Residency Match by Monte Carlo Tree Search,,,,https://www.ijcai.org/proceedings/2022/0001.pdf
Socially Intelligent Genetic Agents for the Emergence of Explicit Norms,,,,https://www.ijcai.org/proceedings/2022/0002.pdf
An EF2X Allocation Protocol for Restricted Additive Valuations,,,,https://www.ijcai.org/proceedings/2022/0003.pdf
Better Collective Decisions via Uncertainty Reduction,,,,https://www.ijcai.org/proceedings/2022/0004.pdf
How Should We Vote- A Comparison of Voting Systems within Social Networks,,,,https://www.ijcai.org/proceedings/2022/0005.pdf
Public Signaling in Bayesian Ad Auctions,,,,https://www.ijcai.org/proceedings/2022/0006.pdf
Mixed Strategies for Security Games with General Defending Requirements,,,,https://www.ijcai.org/proceedings/2022/0007.pdf
Envy-Free and Pareto-Optimal Allocations for Agents with Asymmetric Random Valuations,,,,https://www.ijcai.org/proceedings/2022/0008.pdf
Achieving Envy-Freeness with Limited Subsidies under Dichotomous Valuations,,,,https://www.ijcai.org/proceedings/2022/0009.pdf
"Transparency, Detection and Imitation in Strategic Classification",,,,https://www.ijcai.org/proceedings/2022/0010.pdf
Time-Constrained Participatory Budgeting Under Uncertain Project Costs,,,,https://www.ijcai.org/proceedings/2022/0011.pdf
Tolerance is Necessary for Stability- Single-Peaked Swap Schelling Games,,,,https://www.ijcai.org/proceedings/2022/0012.pdf
General Opinion Formation Games with Social Group Membership,,,,https://www.ijcai.org/proceedings/2022/0013.pdf
Fair Equilibria in Sponsored Search Auctions- The Advertisers’ Perspective,,,,https://www.ijcai.org/proceedings/2022/0014.pdf
Understanding Distance Measures Among Elections,,,,https://www.ijcai.org/proceedings/2022/0015.pdf
Toward Policy Explanations for Multi-Agent Reinforcement Learning,,,,https://www.ijcai.org/proceedings/2022/0016.pdf
Distortion in Voting with Top-t Preferences,,,,https://www.ijcai.org/proceedings/2022/0017.pdf
Let’s Agree to Agree- Targeting Consensus for Incomplete Preferences through Majority Dynamics,,,,https://www.ijcai.org/proceedings/2022/0018.pdf
Incentives in Social Decision Schemes with Pairwise Comparison Preferences,,,,https://www.ijcai.org/proceedings/2022/0019.pdf
Single-Peaked Opinion Updates,,,,https://www.ijcai.org/proceedings/2022/0020.pdf
When Votes Change and Committees Should (Not),,,,https://www.ijcai.org/proceedings/2022/0021.pdf
Network Creation with Homophilic Agents,,,,https://www.ijcai.org/proceedings/2022/0022.pdf
VidyutVanika21- An Autonomous Intelligent Broker for Smart-grids,,,,https://www.ijcai.org/proceedings/2022/0023.pdf
Optimal Anonymous Independent Reward Scheme Design,,,,https://www.ijcai.org/proceedings/2022/0024.pdf
Goal Consistency- An Effective Multi-Agent Cooperative Method for Multistage Tasks,,,,https://www.ijcai.org/proceedings/2022/0025.pdf
On the Convergence of Fictitious Play- A Decomposition Approach,,,,https://www.ijcai.org/proceedings/2022/0026.pdf
Two-Sided Matching over Social Networks,,,,https://www.ijcai.org/proceedings/2022/0027.pdf
A Formal Model for Multiagent Q-Learning Dynamics on Regular Graphs,,,,https://www.ijcai.org/proceedings/2022/0028.pdf
Preserving Consistency in Multi-Issue Liquid Democracy,,,,https://www.ijcai.org/proceedings/2022/0029.pdf
Voting in Two-Crossing Elections,,,,https://www.ijcai.org/proceedings/2022/0030.pdf
Multi-Agent Intention Progression with Reward Machines,,,,https://www.ijcai.org/proceedings/2022/0031.pdf
An Analysis of the Linear Bilateral ANAC Domains Using the MiCRO Benchmark Strategy,,,,https://www.ijcai.org/proceedings/2022/0032.pdf
Approval with Runoff,,,,https://www.ijcai.org/proceedings/2022/0033.pdf
The Complexity of Envy-Free Graph Cutting,,,,https://www.ijcai.org/proceedings/2022/0034.pdf
Parameterized Complexity of Hotelling-Downs with Party Nominees,,,,https://www.ijcai.org/proceedings/2022/0035.pdf
Online Approval Committee Elections,,,,https://www.ijcai.org/proceedings/2022/0036.pdf
On the Ordinal Invariance of Power Indices on Coalitional Games,,,,https://www.ijcai.org/proceedings/2022/0037.pdf
Invasion Dynamics in the Biased Voter Process,,,,https://www.ijcai.org/proceedings/2022/0038.pdf
Efficient Resource Allocation with Secretive Agents,,,,https://www.ijcai.org/proceedings/2022/0039.pdf
Contests to Incentivize a Target Group,,,,https://www.ijcai.org/proceedings/2022/0040.pdf
Representation Matters- Characterisation and Impossibility Results for Interval Aggregation,,,,https://www.ijcai.org/proceedings/2022/0041.pdf
Insight into Voting Problem Complexity Using Randomized Classes,,,,https://www.ijcai.org/proceedings/2022/0042.pdf
Approximate Strategyproof Mechanisms for the Additively Separable Group Activity Selection Problem,,,,https://www.ijcai.org/proceedings/2022/0043.pdf
Picking the Right Winner- Why Tie-Breaking in Crowdsourcing Contests Matters,,,,https://www.ijcai.org/proceedings/2022/0044.pdf
Can Buyers Reveal for a Better Deal-,,,,https://www.ijcai.org/proceedings/2022/0045.pdf
Two for One & One for All- Two-Sided Manipulation in Matching Markets,,,,https://www.ijcai.org/proceedings/2022/0046.pdf
Phragmén Rules for Degressive and Regressive Proportionality,,,,https://www.ijcai.org/proceedings/2022/0047.pdf
Forgiving Debt in Financial Network Games,,,,https://www.ijcai.org/proceedings/2022/0048.pdf
On Discrete Truthful Heterogeneous Two-Facility Location,,,,https://www.ijcai.org/proceedings/2022/0049.pdf
Plurality Veto- A Simple Voting Rule Achieving Optimal Metric Distortion,,,,https://www.ijcai.org/proceedings/2022/0050.pdf
The Dichotomous Affiliate Stable Matching Problem- Approval-Based Matching with Applicant-Employer Relations,,,,https://www.ijcai.org/proceedings/2022/0051.pdf
Light Agents Searching for Hot Information,,,,https://www.ijcai.org/proceedings/2022/0052.pdf
Explaining Preferences by Multiple Patterns in Voters’ Behavior,,,,https://www.ijcai.org/proceedings/2022/0053.pdf
Biased Majority Opinion Dynamics- Exploiting Graph k-domination,,,,https://www.ijcai.org/proceedings/2022/0054.pdf
Modelling the Dynamics of Multi-Agent Q-learning- The Stochastic Effects of Local Interaction and Incomplete Information,,,,https://www.ijcai.org/proceedings/2022/0055.pdf
Propositional Gossip Protocols under Fair Schedulers,,,,https://www.ijcai.org/proceedings/2022/0056.pdf
