title,keywords,group,link,pdf
1. Towards Contextual Learning in Few-Shot Object Classification,,,https://openaccess.thecvf.com/content/WACV2021/html/Fortin_Towards_Contextual_Learning_in_Few-Shot_Object_Classification_WACV_2021_paper.html,
2. Multimodal Humor Dataset- Predicting Laughter Tracks for Sitcoms,,,https://openaccess.thecvf.com/content/WACV2021/html/Patro_Multimodal_Humor_Dataset_Predicting_Laughter_Tracks_for_Sitcoms_WACV_2021_paper.html,https://openaccess.thecvf.com/content/WACV2021/papers/Patro_Multimodal_Humor_Dataset_Predicting_Laughter_Tracks_for_Sitcoms_WACV_2021_paper.pdf
3. Self-Supervised Learning for Domain Adaptation on Point Clouds,,,https://openaccess.thecvf.com/content/WACV2021/html/Achituve_Self-Supervised_Learning_for_Domain_Adaptation_on_Point_Clouds_WACV_2021_paper.html,https://openaccess.thecvf.com/content/WACV2021/papers/Achituve_Self-Supervised_Learning_for_Domain_Adaptation_on_Point_Clouds_WACV_2021_paper.pdf
4. Efficient 3D Video Engine Using Frame Redundancy,,,https://openaccess.thecvf.com/content/WACV2021/html/Peng_Efficient_3D_Video_Engine_Using_Frame_Redundancy_WACV_2021_paper.html,
5. Exploiting the Redundancy in Convolutional Filters for Parameter Reduction,,,https://openaccess.thecvf.com/content/WACV2021/html/Kahatapitiya_Exploiting_the_Redundancy_in_Convolutional_Filters_for_Parameter_Reduction_WACV_2021_paper.html,https://openaccess.thecvf.com/content/WACV2021/papers/Kahatapitiya_Exploiting_the_Redundancy_in_Convolutional_Filters_for_Parameter_Reduction_WACV_2021_paper.pdf
6. Benchmark for Evaluating Pedestrian Action Prediction,,,https://openaccess.thecvf.com/content/WACV2021/html/Kotseruba_Benchmark_for_Evaluating_Pedestrian_Action_Prediction_WACV_2021_paper.html,
7. Regional Attention Networks With Context-Aware Fusion for Group Emotion Recognition,,,https://openaccess.thecvf.com/content/WACV2021/html/Khan_Regional_Attention_Networks_With_Context-Aware_Fusion_for_Group_Emotion_Recognition_WACV_2021_paper.html,
8. Auxiliary Tasks for Efficient Learning of Point-Goal Navigation,,,https://openaccess.thecvf.com/content/WACV2021/html/Desai_Auxiliary_Tasks_for_Efficient_Learning_of_Point-Goal_Navigation_WACV_2021_paper.html,https://openaccess.thecvf.com/content/WACV2021/papers/Desai_Auxiliary_Tasks_for_Efficient_Learning_of_Point-Goal_Navigation_WACV_2021_paper.pdf
9. Cross-Modality 3D Object Detection,,,https://openaccess.thecvf.com/content/WACV2021/html/Zhu_Cross-Modality_3D_Object_Detection_WACV_2021_paper.html,https://openaccess.thecvf.com/content/WACV2021/papers/Zhu_Cross-Modality_3D_Object_Detection_WACV_2021_paper.pdf
10. Variational Prototype Inference for Few-Shot Semantic Segmentation,,,https://openaccess.thecvf.com/content/WACV2021/html/Wang_Variational_Prototype_Inference_for_Few-Shot_Semantic_Segmentation_WACV_2021_paper.html,https://openaccess.thecvf.com/content/WACV2021/papers/Wang_Variational_Prototype_Inference_for_Few-Shot_Semantic_Segmentation_WACV_2021_paper.pdf
